Name/username             Host                                    Dyn Forcerport ACL Port     Status     
1805/1805                 172.16.1.42                              D                 5060     OK (6 ms)  
1806/1806                 172.16.1.28                              D                 5060     OK (7 ms)  
1807                      (Unspecified)                            D                 0        UNKNOWN    
1808/1808                 172.16.1.38                              D                 5060     OK (7 ms)  
1810/1810                 172.16.2.24                              D                 5060     OK (11 ms) 
1811/1811                 172.16.1.52                              D                 5060     OK (6 ms)  
1812/1812                 172.16.11.29                             D                 5060     OK (8 ms)  
1814/1814                 172.16.1.57                              D                 5060     OK (7 ms)  
1815/1815                 172.16.11.28                             D                 5060     OK (8 ms)  
1818/1818                 172.16.11.23                             D                 5060     OK (7 ms)  
1819/1819                 172.16.11.20                             D                 5060     OK (8 ms)  
1820/1820                 172.16.12.12                             D                 5060     OK (9 ms)  
1822/1822                 172.16.1.54                              D                 5060     OK (7 ms)  
1823/1823                 172.16.11.26                             D                 5060     OK (8 ms)  
1824/1824                 172.16.11.35                             D                 5060     OK (8 ms)  
1825/1825                 172.16.11.22                             D                 5060     OK (8 ms)  
1826/1826                 172.16.11.37                             D                 5060     OK (8 ms)  
1827/1827                 172.16.11.30                             D                 5060     OK (8 ms)  
1828/1828                 172.16.11.25                             D                 5060     OK (7 ms)  
1829/1829                 172.16.11.36                             D                 5060     OK (7 ms)  
1830/1830                 172.16.11.24                             D                 5060     OK (8 ms)  
1831/1831                 172.16.11.27                             D                 5060     OK (8 ms)  
1901/1901                 172.16.9.7                               D                 5060     OK (9 ms)  
1902/1902                 172.16.9.102                             D                 5060     OK (9 ms)  
1903/1903                 172.16.9.11                              D                 5060     OK (8 ms)  
1904/1904                 172.16.9.12                              D                 5060     UNREACHABLE 
1905/1905                 172.16.9.14                              D                 5060     OK (9 ms)  
1906/1906                 172.16.9.16                              D                 5060     OK (13 ms) 
1907/1907                 172.16.9.19                              D                 5060     OK (9 ms)  
1908/1908                 172.16.1.59                              D                 5060     OK (7 ms)  
1909/1909                 172.16.9.17                              D                 5060     OK (9 ms)  
1910/1910                 172.16.9.6                               D                 5060     OK (9 ms)  
